year,month,stateDescription,sectorName,customers,price,revenue,sales
2001,2,West North Central,other,,5.85,31.00836,530.34601
2001,2,West North Central,residential,,6.66,514.6488,7726.54067
2001,2,South Atlantic,all sectors,,6.46,3677.14129,56924.13518
2001,2,South Atlantic,commercial,,6.47,1147.03826,17719.17365
2001,2,Oregon,residential,,5.81,108.9901,1874.70239
2001,2,Pennsylvania,all sectors,,7.46,884.13154,11844.50765
2001,2,Pennsylvania,commercial,,8.3,276.64906,3332.34158
2001,2,Pennsylvania,industrial,,5.21,221.40235,4247.32552
2001,2,Pennsylvania,other,,10.5,13.74334,130.89691
2001,2,Pennsylvania,residential,,9.01,372.33679,4133.94364
2001,2,Rhode Island,all sectors,,11.34,66.7149,588.40231
2001,2,Rhode Island,commercial,,11.54,29.55918,256.11215
2001,2,Rhode Island,industrial,,9.26,9.6883,104.67049
2001,2,Rhode Island,other,,13.16,1.21973,9.26625
2001,2,Rhode Island,residential,,12.02,26.24769,218.35343
2001,2,South Carolina,all sectors,,5.76,354.46572,6151.32286
2001,2,South Carolina,commercial,,6.57,86.98277,1324.08167
2001,2,South Carolina,industrial,,3.88,100.24686,2585.77722
2001,2,South Carolina,other,,6.66,4.79335,71.95356
2001,2,South Carolina,residential,,7.49,162.44273,2169.51041
2001,2,South Dakota,all sectors,,6.1,45.5678,746.73423
2001,2,South Dakota,commercial,,6.38,15.46437,242.46989
2001,2,South Dakota,industrial,,4.49,5.49994,122.47314
2001,2,South Dakota,other,,3.61,1.37533,38.10345
2001,2,South Dakota,residential,,6.76,23.22816,343.68776
2001,2,Tennessee,all sectors,,5.51,459.74779,8344.77047
2001,2,Tennessee,commercial,,6.3,131.71022,2089.16058
2001,2,Tennessee,industrial,,3.8,100.28619,2637.20078
2001,2,Tennessee,other,,8.87,8.00761,90.26802
2001,2,Tennessee,residential,,6.23,219.74378,3528.1411
2001,2,Texas,all sectors,,6.91,1670.53639,24170.79092
2001,2,Texas,commercial,,7.61,481.20938,6321.75567
2001,2,Texas,industrial,,5.11,410.57302,8042.37599
2001,2,Texas,other,,7.28,76.51344,1051.34952
2001,2,Texas,residential,,8.02,702.24056,8755.30975
2001,2,Utah,all sectors,,5.26,95.11455,1807.57026
2001,2,Utah,commercial,,5.63,34.7007,616.35297
2001,2,Utah,industrial,,3.51,20.72558,591.02041
2001,2,Utah,other,,4.83,3.13612,64.93447
2001,2,Utah,residential,,6.83,36.55216,535.26241
2001,2,South Atlantic,industrial,,4.21,540.22489,12832.5723
2001,2,South Atlantic,other,,6.5,110.54202,1700.08036
2001,2,South Atlantic,residential,,7.62,1879.33612,24672.30887
2001,2,East South Central,all sectors,,5.18,1244.64404,24049.20587
2001,2,East South Central,commercial,,6.25,325.54803,5212.78553
2001,2,East South Central,industrial,,3.52,330.3791,9397.05452
2001,2,East South Central,other,,6.16,27.68433,449.37216
2001,2,East South Central,residential,,6.24,561.03258,8989.99367
2001,2,West South Central,all sectors,,6.85,2523.52013,36854.14972
2001,2,West South Central,commercial,,7.49,686.44387,9162.50309
2001,2,West South Central,industrial,,5.32,685.6828,12892.94748
2001,2,West South Central,other,,6.99,106.07196,1516.76367
2001,2,West South Central,residential,,7.87,1045.32149,13281.93549
2001,2,Mountain,all sectors,,5.94,1001.97976,16863.38072
2001,2,Mountain,commercial,,6.1,332.59027,5456.21492
2001,2,Mountain,industrial,,4.64,233.83838,5040.04564
2001,2,Vermont,all sectors,,11.12,52.94699,476.13472
2001,2,Vermont,commercial,,11.67,17.92937,153.59024
2001,2,Vermont,industrial,,8.35,11.02585,132.00154
2001,2,Vermont,other,,15.78,0.55101,3.49181
2001,2,Vermont,residential,,12.53,23.44077,187.05113
2001,2,Virginia,all sectors,,6.03,471.27668,7819.86857
2001,2,Virginia,commercial,,5.71,122.54149,2145.33896
2001,2,Virginia,industrial,,4.09,61.81802,1511.77579
2001,2,Virginia,other,,5.43,43.14307,794.06009
2001,2,Virginia,residential,,7.24,243.77411,3368.69372
2001,2,Washington,all sectors,,5.11,424.88935,8316.93582
2001,2,Washington,commercial,,5.44,119.42661,2195.18622
2001,2,Washington,industrial,,4.19,95.01612,2270.10291
2001,2,Washington,other,,4.86,14.1727,291.36243
2001,2,Washington,residential,,5.51,196.27392,3560.28426
2001,2,West Virginia,all sectors,,4.99,120.21893,2411.13253
2001,2,West Virginia,commercial,,5.45,29.49708,541.23074
2001,2,West Virginia,industrial,,3.48,30.4636,874.89811
2001,2,West Virginia,other,,10.08,0.65097,6.46069
2001,2,West Virginia,residential,,6.03,59.60727,988.54299
2001,2,Wisconsin,all sectors,,5.98,312.62219,5229.47437
2001,2,Wisconsin,commercial,,6.18,93.10608,1507.01838
2001,2,Wisconsin,industrial,,4.32,85.03223,1969.90163
2001,2,Wisconsin,other,,7.82,4.52401,57.88608
2001,2,Wisconsin,residential,,7.67,129.95988,1694.66828
2001,2,Wyoming,all sectors,,4.36,49.14779,1127.51736
2001,2,Wyoming,commercial,,5.04,12.09208,239.97506
2001,2,Wyoming,industrial,,3.48,22.88776,658.05578
2001,2,Wyoming,other,,5.1,0.79472,15.57884
2001,2,Wyoming,residential,,6.25,13.37324,213.90768
2001,2,New England,all sectors,,10.53,1005.89535,9549.54091
2001,2,New England,commercial,,10.44,398.72084,3817.79416
2001,2,New England,industrial,,8.52,177.00249,2078.50611
2001,2,New England,other,,13.36,17.1424,128.35696
2001,2,New England,residential,,11.72,413.02962,3524.88368
2001,2,District of Columbia,other,,7.71,2.06446,26.76393
2001,2,District of Columbia,residential,,6.9,10.69291,155.06209
2001,2,Florida,all sectors,,7.48,1142.11912,15263.2687
2001,2,Florida,commercial,,7.03,377.53032,5373.76
2001,2,Florida,industrial,,5.01,79.29566,1583.97635
2001,2,Florida,other,,7.42,30.71569,413.7976
2001,2,Florida,residential,,8.29,654.57746,7891.73476
2001,2,Georgia,all sectors,,6.2,552.6411,8917.24627
2001,2,Georgia,commercial,,6.71,182.76308,2722.15088
2001,2,Georgia,industrial,,4.19,111.89374,2670.92241
2001,2,Georgia,other,,8.54,10.80234,126.54895
2001,2,Georgia,residential,,7.28,247.18193,3397.62403
2001,2,Hawaii,all sectors,,14.42,104.26144,723.2767
2001,2,Hawaii,commercial,,15.27,35.32478,231.34431
2001,2,Hawaii,industrial,,12.01,33.92433,282.54155
2001,2,Hawaii,other,,16.33,0.82931,5.07785
2001,2,Hawaii,residential,,16.73,34.18302,204.31298
2001,2,Idaho,all sectors,,4.5,78.48276,1742.99136
2001,2,Idaho,commercial,,4.48,18.683,417.10972
2001,2,Idaho,industrial,,3.46,20.0258,578.84844
2001,2,Idaho,other,,4.45,1.17185,26.35412
2001,2,Idaho,residential,,5.36,38.60211,720.67908
2001,2,Illinois,all sectors,,6.17,720.75564,11675.16176
2001,2,Illinois,commercial,,6.64,236.80791,3564.13789
2001,2,Illinois,industrial,,3.9,152.01272,3899.63349
2001,2,Illinois,other,,6.45,55.72554,864.51447
2001,2,Illinois,residential,,8.25,276.20947,3346.87591
2001,2,Indiana,all sectors,,5.08,407.72353,8026.88032
2001,2,Indiana,commercial,,5.11,100.84793,1972.76155
2001,2,Indiana,industrial,,3.84,134.66103,3510.75886
2001,2,Indiana,other,,12.89,5.1066,39.62163
2001,2,Indiana,residential,,6.67,167.10796,2503.73829
2001,2,Iowa,all sectors,,5.8,180.05191,3103.53493
2001,2,Iowa,commercial,,6.38,42.02452,658.75625
2001,2,Iowa,industrial,,3.83,48.76393,1272.06225
2001,2,Iowa,other,,5.71,9.82254,171.88577
2001,2,Iowa,residential,,7.94,79.44092,1000.83066
2001,2,Kansas,all sectors,,5.93,155.57558,2624.16326
2001,2,Kansas,commercial,,6.07,55.11402,908.09575
2001,2,Kansas,industrial,,4.43,36.02245,813.81527
2001,2,Kansas,other,,8.35,2.91618,34.91509
2001,2,Kansas,residential,,7.09,61.52293,867.33716
2001,2,Kentucky,all sectors,,4.25,267.32728,6297.32889
2001,2,Kentucky,commercial,,5.49,52.73694,960.88828
2001,2,Kentucky,industrial,,2.97,90.15591,3040.31142
2001,2,Kentucky,other,,4.38,10.67949,243.88896
2001,2,Kentucky,residential,,5.54,113.75495,2052.24023
2001,2,Louisiana,all sectors,,7.92,459.31206,5800.99983
2001,2,Louisiana,commercial,,8.68,111.18586,1281.50665
2001,2,Louisiana,industrial,,6.93,170.18811,2456.8858
2001,2,Louisiana,other,,9.68,18.65571,192.70515
2001,2,Louisiana,residential,,8.52,159.28239,1869.90223
2001,2,Middle Atlantic,all sectors,,9.22,2724.05045,29531.17285
2001,2,Middle Atlantic,commercial,,10.16,1095.01388,10781.73095
2001,2,Middle Atlantic,industrial,,5.75,435.57659,7575.70904
2001,2,Middle Atlantic,other,,8.85,117.13969,1323.46268
2001,2,Middle Atlantic,residential,,10.93,1076.32029,9850.27018
2001,2,East North Central,all sectors,,6.14,2830.72392,46091.16967
2001,2,East North Central,commercial,,7.02,883.83666,12588.19505
2001,2,Mountain,other,,5.59,30.53782,546.32259
2001,2,Mountain,residential,,6.96,405.01328,5820.79757
2001,2,Pacific Contiguous,all sectors,,7.76,2410.92664,31081.69509
2001,2,Pacific Contiguous,commercial,,8.41,847.7679,10078.39922
2001,2,Pacific Contiguous,industrial,,6.11,506.26176,8284.31547
2001,2,Pacific Contiguous,other,,5.95,68.94659,1157.8204
2001,2,Pacific Contiguous,residential,,8.55,987.9504,11561.16001
2001,2,Pacific Noncontiguous,all sectors,,12.61,152.46132,1209.37324
2001,2,Pacific Noncontiguous,commercial,,12.78,54.75597,428.58502
2001,2,Pacific Noncontiguous,industrial,,10.87,40.32278,371.05832
2001,2,Pacific Noncontiguous,other,,10.71,3.21103,29.97347
2001,2,Pacific Noncontiguous,residential,,14.26,54.17154,379.75642
2001,2,U.S. Total,all sectors,,6.87,18700.12259,272334.73804
2001,2,U.S. Total,commercial,,7.51,6118.50081,81466.85778
2001,2,U.S. Total,industrial,,4.8,3945.19364,82248.23193
2001,2,U.S. Total,other,,6.94,606.7923,8741.97528
2001,2,U.S. Total,residential,,8.04,8029.63584,99877.67304
2001,2,Maine,all sectors,,11.05,111.40775,1008.54079
2001,2,Maine,commercial,,10.46,37.96884,362.86467
2001,2,Maine,industrial,,9.59,30.30945,315.90392
2001,2,Maine,other,,24.21,1.6657,6.88077
2001,2,Maine,residential,,12.84,41.46376,322.89143
2001,2,Maryland,all sectors,,6.07,300.66218,4954.31404
2001,2,Maryland,commercial,,5.72,109.36681,1910.54677
2001,3,Colorado,all sectors,,5.66,199.05662,3519.88616
2001,3,Colorado,commercial,,5.28,74.11057,1404.33802
2001,3,Colorado,industrial,,4.24,37.34509,880.31525
2001,3,Colorado,other,,8.03,6.08342,75.73163
2001,3,Colorado,residential,,7.03,81.51754,1159.50126
2001,3,Connecticut,all sectors,,9.38,241.76304,2577.05373
2001,3,Connecticut,commercial,,8.89,93.06414,1046.64188
2001,3,Connecticut,industrial,,7.53,32.41428,430.48559
2001,3,Connecticut,other,,10.02,4.55722,45.49094
2001,3,Connecticut,residential,,10.6,111.7274,1054.43532
2001,3,Delaware,all sectors,,6.31,60.90191,965.76469
2001,3,Delaware,commercial,,6.28,19.78876,315.07103
2001,3,Delaware,industrial,,4.46,13.88576,311.49901
2001,3,Delaware,other,,11.39,1.0831,9.50903
2001,3,Delaware,residential,,7.93,26.14429,329.68561
2001,3,District of Columbia,all sectors,,6.33,58.5044,924.84423
2001,3,District of Columbia,commercial,,6.33,46.44271,733.50553
2001,3,District of Columbia,industrial,,4.22,1.01127,23.9737
2001,3,District of Columbia,other,,6.38,1.97786,30.99791
2001,3,District of Columbia,residential,,6.65,9.07256,136.36708
2001,3,Florida,all sectors,,7.51,1080.46756,14382.78158
2001,3,Florida,commercial,,7.06,385.66838,5465.09811
2001,3,Florida,industrial,,5.03,85.67539,1702.16597
2001,3,Florida,other,,7.37,31.07967,421.53358
2001,3,Florida,residential,,8.51,578.04412,6793.98392
2001,3,Georgia,all sectors,,6.1,540.37898,8861.91977
2001,3,Georgia,commercial,,6.69,184.62527,2761.6266
2001,3,Georgia,industrial,,3.95,114.058,2886.21195
2001,3,Georgia,other,,8.37,10.8124,129.16403
2001,3,Georgia,residential,,7.48,230.8833,3084.91719
2001,3,Hawaii,all sectors,,14.23,113.73662,799.10958
